batch_id,file_name,start_pair_id,end_pair_id,item_count
review_batch_001,review_batch_001.txt,pilot50-condition-001__concise_clinical,pilot50-condition-004__semi_structured,10
review_batch_002,review_batch_002.txt,pilot50-condition-005__concise_clinical,pilot50-condition-008__concise_clinical,10
review_batch_003,review_batch_003.txt,pilot50-condition-008__semi_structured,pilot50-observation-001__semi_structured,10
review_batch_004,review_batch_004.txt,pilot50-observation-001__shorthand_note,pilot50-observation-004__shorthand_note,10
review_batch_005,review_batch_005.txt,pilot50-observation-005__concise_clinical,pilot50-observation-008__concise_clinical,10
review_batch_006,review_batch_006.txt,pilot50-observation-008__semi_structured,pilot50-observation-011__semi_structured,10
review_batch_007,review_batch_007.txt,pilot50-observation-011__shorthand_note,pilot50-observation-014__shorthand_note,10
review_batch_008,review_batch_008.txt,pilot50-observation-015__concise_clinical,pilot50-observation-018__concise_clinical,10
review_batch_009,review_batch_009.txt,pilot50-observation-018__semi_structured,pilot50-observation-021__semi_structured,10
review_batch_010,review_batch_010.txt,pilot50-observation-021__shorthand_note,pilot50-observation-024__shorthand_note,10
review_batch_011,review_batch_011.txt,pilot50-observation-025__concise_clinical,pilot50-observation-028__concise_clinical,10
review_batch_012,review_batch_012.txt,pilot50-observation-028__semi_structured,pilot50-observation-031__semi_structured,10
review_batch_013,review_batch_013.txt,pilot50-observation-031__shorthand_note,pilot50-observation-034__shorthand_note,10
review_batch_014,review_batch_014.txt,pilot50-observation-035__concise_clinical,pilot50-patient-003__concise_clinical,10
review_batch_015,review_batch_015.txt,pilot50-patient-003__semi_structured,pilot50-patient-005__shorthand_note,8
