selected_id,resource_type,resource_id,source_file,json_valid,likely_numeric,has_value,has_unit,needs_linked_context,complexity_guess,selection_priority,selection_notes
Condition/0198253c-bf42-92b7-b12f-7c65dae14661,Condition,0198253c-bf42-92b7-b12f-7c65dae14661,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/0717af9f-b696-e28a-b9b3-d88a0b814ce8,Condition,0717af9f-b696-e28a-b9b3-d88a0b814ce8,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/035d096b-ec8a-645f-99a0-4a6f05ee77d3,Condition,035d096b-ec8a-645f-99a0-4a6f05ee77d3,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/0428f881-9937-bf73-6717-d1426af738b8,Condition,0428f881-9937-bf73-6717-d1426af738b8,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/062795d2-78aa-8b2a-7854-f3ce4982f86e,Condition,062795d2-78aa-8b2a-7854-f3ce4982f86e,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/05256571-4570-c9e5-4cab-e3cf3c20f289,Condition,05256571-4570-c9e5-4cab-e3cf3c20f289,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/095dd3d9-8eb6-e786-0fcd-ab35b43513f8,Condition,095dd3d9-8eb6-e786-0fcd-ab35b43513f8,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/0a84f58e-5ab1-0069-4246-3c461345a36f,Condition,0a84f58e-5ab1-0069-4246-3c461345a36f,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/00f9e3dc-c68e-7a7d-532f-969da84aa711,Condition,00f9e3dc-c68e-7a7d-532f-969da84aa711,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
Condition/08056bc1-b178-1d21-d6c2-daa23753202b,Condition,08056bc1-b178-1d21-d6c2-daa23753202b,Condition.000.ndjson,true,false,false,false,true,moderate,03_relaxed_linked_moderate,Condition selected after linked-context relaxation while staying at moderate complexity.
